dataset,baseline,modalities,runs,seeds,runtime_scope,ARI_mean,ARI_sd,NMI_mean,NMI_sd,silhouette_mean,silhouette_sd,runtime_seconds_mean,runtime_seconds_sd
LN_A1,ADT,ADT,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.23414383807983785,0.017933867298845125,0.3081843469037502,0.006111453243116551,0.10902677439840132,0.008432761621898113,0.15876722200482618,0.0174434784074877
LN_A1,CONCAT,RNA+ADT,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.22085613321345238,0.027164390303536682,0.3235240234700736,0.01435190733323032,0.03038302459726164,0.008636342320180429,6.551498750666117,0.25274799099202866
LN_A1,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.2319353552934048,0.002439986601268974,0.34021617829725853,0.0023459291989039784,0.15101646217834525,0.0005202724215998494,0.20647172200066657,0.058237955014128255
LN_A1,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.21369689170155573,0.00252678733367555,0.3127160141987539,0.007314382523511029,-0.03339239097013246,0.0006484285915656044,8.079880652667876,0.3005851503830406
LN_A1,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.0673414299612703,0.0005267822815200787,0.15175936837753765,0.0017950077590465573,0.3534813507533725,0.0009122211451095172,0.086002194667041,0.007110419289045205
LN_D1,ADT,ADT,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.2454595341418276,0.0074134889376601945,0.30746938754075553,0.011042862134801226,0.10594870938753646,0.0020276597345880902,0.15473134732746985,0.0017539373652797746
LN_D1,CONCAT,RNA+ADT,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.2101600124890448,0.03585639896298566,0.31084484672626933,0.015448468104665608,0.020000129437643354,0.00900580472512247,7.306740916334093,0.712199303552455
LN_D1,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.14612915255105818,0.0011745103788437137,0.250782992663539,0.002000448542164763,0.09178242638395555,0.0007861397982705132,0.1765903193251385,0.006229256853386967
LN_D1,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.14128269221748116,0.00463925714790073,0.22556389534805962,0.002023725960372329,-0.05278963432415747,0.001111227992677693,9.022332250339483,0.752813958928457
LN_D1,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.05147027312500353,0.001905042080777782,0.1477512527859286,0.004825052567694695,0.34013774967903904,0.006193791576689712,0.0817600279939749,0.0040987166167095815
MB_E11,ATAC,ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,-0.002434189853242366,0.0,0.007671078264173298,0.0,0.9239448384259304,0.001416989241127353,0.04450420833503207,0.016614408467383705
