baseline,LN_A1,LN_D1,MB_E11,MB_E13,MB_E15,MB_E18
RNA,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3
ADT,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,NOT_APPLICABLE_NO_ADT,NOT_APPLICABLE_NO_ADT,NOT_APPLICABLE_NO_ADT,NOT_APPLICABLE_NO_ADT
ATAC,NOT_APPLICABLE_NO_ATAC,NOT_APPLICABLE_NO_ATAC,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,NOT_APPLICABLE_E18_ATAC_UNVERIFIED
CONCAT,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,SUCCEEDED_3_OF_3_WITH_QC_FLAGS,NOT_APPLICABLE_E18_ATAC_UNVERIFIED
PCA,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3
SPACE,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3,SUCCEEDED_3_OF_3
